>Enter w1:3
w 1:3
Joint command
     JT1       JT2       JT3       JT4       JT5       JT6       JT7  
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.965   105.700  -136.277     0.000  -130.718     4.228
     0.000    71.909   105.700  -136.225     0.000  -130.732     4.185
     0.000    71.775   105.700  -136.098     0.000  -130.765     4.080
     0.000    71.530   105.700  -135.868     0.000  -130.825     3.889
